Item Code,Item Name,Division,Vertical,Brand,District
82903,DIVYA SANTATI SUDHA 60 N - T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
83031,JIGGLE WIGGLE TOOTHBRUSH - T,NON FOOD,HOME CARE,TOOTHBRUSH,Chennai
83032,JUNIOR SMILEY TOOTHBRUSH - T,NON FOOD,HOME CARE,TOOTHBRUSH,Chennai
83036,DIVYA MELANOGRIT 3 U X 20 - T,PHARMACY,MEDICINES,DIVYA MEDICINE,Chennai
83378,DIVYA VRIDDHIVADHIKA VATI 160 N- T,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
83383,DIVYA SINGHNAD GUGGUL 80 N -T,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
83444,DIVYA WEIGHTGO TABLET 60 N -T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
83511,DIVYA KAYAKALP TAILA ADVANCE 100 ML,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
83550,Divya Cologrit 3 U X 20 N -T,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
83644,SANJEEVANI VATI 160 N,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
83720,DIVYA DENGUENIL VATI 80 TABLETS-T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
83751,DIVYA KANTILEP 50 G,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
83803,AMRIT SROT COPPER JUG WT GLASS 1700 ML-T,NON FOOD,EXCLUSIVE RETAIL,AMRIT SROT,Chennai
83810,PANCHAMRIT LAUH GUGGUL 120 N,PHARMACY,EXCLUSIVE RETAIL,DIVYA PRODUCTS,Chennai
84129,DIVYA MAKARDHWAJ 2 G -T,PHARMACY,EXCLUSIVE RETAIL,DIVYA PRODUCTS,Chennai
84150,DIVYA PANCOGRIT 60 TABLET-T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI,Chennai
84152,DIVYA HAEMOGRIT VITAL 60 TABLET-T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI,Chennai
84153,DIVYA AUROGRIT TABLET 60N-T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI,Chennai
84196,MAHA NARAYAN TAILA 100 ML - T,PHARMACY,EXCLUSIVE RETAIL,TAILA,Chennai
84200,KUSHA AASANA KIT (WOOLEN & FUR) - T,PARIDHAN,PARIDHAN,PARIDHAN,Chennai
84272,DIVYA PUNRGRIT 3 U X 20 N - T,PHARMACY,JUICES & NATURAL BEVERAGES,TABLET & VATI,Chennai
8854000077,DIVYA KANTILEP 50 G,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
8855000358,DIVYA ASHWAGANDHARISHTA - 450 ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8855000660,KATARANI RICE 5 KG (BOPP) 8*5 Kg - TP,FOOD,RICE/PULSES/SPICES,RICE,Chennai
8857000015,DIVYA JWAR NASHAK VATI 40 TABLETS,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
8857000018,DIVYA LAVAN BHASKAR CHURNA - 100 GM,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
8857000038,DIVYA VATARI CHURNA 100 G,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
8857000062,DIVYA ARJUNARISHTA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8857000065,DIVYA ARVINDASAVA - 225ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8857000071,DIVYA CHIRAYTA KWATH -100 GM,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
8857000073,DIVYA DASHMOOL KWATH -100GM,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
8857000074,DIVYA AMLA RASAYAN 100GM,PHARMACY,MEDICINES,Churna,Chennai
8857000077,DIVYA ASHMARIHAR KWATH - 100GM,PHARMACY,MEDICINES,Kwath,Chennai
8857000089,DIVYA GILOY SAT - 10 GM,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
