Item Code,Item Name,Division,Vertical,Brand
8857000038,DIVYA VATARI CHURNA 100 G,PHARMACY,MEDICINES,VATI & GUGGAL
8857000062,DIVYA ARJUNARISHTA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8857000065,DIVYA ARVINDASAVA - 225ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8857000071,DIVYA CHIRAYTA KWATH -100 GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000073,DIVYA DASHMOOL KWATH -100GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000074,DIVYA AMLA RASAYAN 100GM,PHARMACY,MEDICINES,Churna
8857000077,DIVYA ASHMARIHAR KWATH - 100GM,PHARMACY,MEDICINES,Kwath
8857000089,DIVYA GILOY SAT - 10 GM,PHARMACY,MEDICINES,BHASMA & NPDs
8857000108,DIVYA KUTJARISHTA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8857000110,DIVYA LAKSHADI GUGGUL - 40 TAB,PHARMACY,MEDICINES,VATI & GUGGAL
8857000123,DIVYA MUKTA PISHTI - 3GM,PHARMACY,MEDICINES,BHASMA & NPDs
8857000134,DIVYA SHUDDH KONCH BEEJ CHURNA 100GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000142,DIVYA NIRGUNDI KWATH - 100 GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000147,DIVYA PARIJAAT KWATH -100 GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000159,DIVYA PTRANGASAVA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8857000160,DIVYA TOTLA KWATH -100GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000178,DIVYA USIRASAVA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8857000193,DIVYA VRIDHIVADHIKA VATI - 80 TAB,PHARMACY,MEDICINES,VATI & GUGGAL
8857000217,DIVYA SHIVLINGI BEEJ 100 GM - T ( 30 PC),PHARMACY,MEDICINES,DIVYA PRODUCTS
8857000218,DIVYA MAHATRIPHALADI GHRIT 200 GM (20PC),PHARMACY,MEDICINES,VATI & TABLETS
8857000226,DIVYA PHAL GHRIT 200 GM (20 PC),PHARMACY,MEDICINES,GHRIT
8857000243,DIVYA BRAHMI GHRIT 200 GM (20 PC) - T,PHARMACY,MEDICINES,GHIRIT
8857000244,DIVYA DURVADI GHRIT 200 GM (20 PC) - T,PHARMACY,MEDICINES,GHIRIT
8857000245,DIVYA JEEVANTYADI GHRIT 200 GM (20 PC)-T,PHARMACY,MEDICINES,GHIRIT
8857000276,DIVYA SHILAJEET DROPS 30 ML - T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8857000289,DIVYA PRARABDHESHTI (HAWAN SAMAGRI)400GT,PHARMACY,MEDICINES,DIVYA MEDICINE
8857000319,DIVYA WEIGHTGO TABLET 60 N -T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8857000340,DIVYA FEVOGRIT 60 TABLET-T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI
8857000347,DIVYA UTINIL TABLET 3U X 10N -T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI
8857000351,DIVYA SWASARI AVALEHA 100 G - T,PHARMACY,EXCLUSIVE RETAIL,DIVYA PRODUCTS
8861000076,DIVYA NARI KANTI SYRUP 200 ML -T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8861000079,DIVYA IMMUNOGRIT KWATH 150 G (JAR) -T,PHARMACY,MEDICINES,DIVYA PRODUCTS
8861000081,Divya Renogrit 3 U X 20 N -T,PHARMACY,MEDICINES,DIVYA PRODUCTS
8861000082,BALA TAILA 100 ML (100 PCS)-T,PHARMACY,MEDICINES,ASAV & KWATH
9011000028,AASTHA GUGAL CONE DHOOP ( NEW)- 80 GM,AASTHA DIVISION,DRY DHOOP,CONE-80 GM
9955000478,CURCUMIN GOLD 95 TABLET,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
9955000561,SHAKTI MINI MONGRA-2 BASMATI RICE 30 KG,FOOD,RICE/PULSES/SPICES,RICE
9958000046,YOUVAN GOLD PLUS CAPSULE,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
9963000240,AASTHA PREMIUM DELUXE DHOOP - 20 N,AASTHA DIVISION,DHOOP,20 STICK-WET
9963000242,AASTHA PREMIUM LOBAN DHOOP - 20 N,AASTHA DIVISION,DHOOP,20 STICK-WET
9963000243,AASTHA PREMIUM MOGRA DHOOP - 20 N,AASTHA DIVISION,DHOOP,20 STICK-WET
9963000287,AASTHA GANGAJAL -100 ML,AASTHA DIVISION,OTHERS,GANGAJAL
9963000302,AASTHA RAJNIGANDHA DRY DHOOP STICK-200 G,AASTHA DIVISION,DRY DHOOP,DRYSTICK-JAR-200 GM
9963000322,AASTHA GHEE BATTI - 30N,AASTHA DIVISION,POOJA SAMAGRI,GHEE- BATTI 30N
9963000366,AASTHA MOGRA DRY DHOOP CONE - 20 GM,AASTHA DIVISION,DRY DHOOP,CONE-20 GM
1097,HAIR CONDITIONER COLOUR PROTECTION 100 G,NON FOOD,NATURAL PERSONAL CARE,HAIR CONDITIONER
150000756,URAD CHILKA 1000 GM (R1),FOOD,RICE/PULSES/SPICES,PULSES
150001076,COWS GHEE 200 ML - T,FOOD,PHYSICAL OIL & GHEE,GHEE
150001089,CORN FLAKES 875 GM - T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BREAKFAST CEREALS
150001654,TOOTHBRUSH (FRESH ACTIVE) -T,NON FOOD,DENTAL CARE,TOOTHBRUSH
150001658,TOOTHBRUSH BLACK (HANGER) -T,NON FOOD,DENTAL CARE,TOOTHBRUSH
150001659,TOOTHBRUSH CARBON HD - T,NON FOOD,DENTAL CARE,TOOTHBRUSH
150001662,TOOTHBRUSH NORMAL HANGER (336 PC) - T,NON FOOD,DENTAL CARE,TOOTHBRUSH
150001664,TOOTHBRUSH ALL IN ONE HANGER (144 PC) -T,NON FOOD,DENTAL CARE,TOOTHBRUSH
150001666,JUNIOR SMILEY TOOTHBRUSH - T,NON FOOD,DENTAL CARE,TOOTHBRUSH
150001670,TOOTHBRUSH SENSITIVE PLUS -T(HANGER),NON FOOD,DENTAL CARE,TOOTHBRUSH
150001778,ORGANIC VIRGIN COCONUT OIL-500ML(JAR)-T,FOOD,PHYSICAL OIL & GHEE,VIRGIN COCONUT OIL
150001780,MIXED PICKLE - 200 GM-T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE
150002270,NORMAL TOOTHBRUSH DOUBLE TRADE OFFER -T,NON FOOD,Dental Care,TOOTHBRUSH
150002593,BHARWA LAL MIRCH PICKLE 200 GM,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE
150002595,MANGO PICKLE 200 GM,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE
150002691,COWS GHEE 900ML FREE CORN FLAKES. RS10-T,FOOD,PHYSICAL OIL & GHEE,GHEE
150002770,NAMKEEN MOONG DAL MRP 10/- (300 PC)- T,FOOD,NAMKEEN,TRADITIONAL NAMKEEN
150002822,NAMKEEN ALOO BHUJIA MRP 10/- T,FOOD,NAMKEEN,TRADITIONAL NAMKEEN
180002658,ALOEVERA JUICE FIBRE (ORANGE FLAV.) 1 L,FOOD,JUICES & NATURAL BEVERAGES,ALOEVERA JUICE
180002729,MIX PICKLE 500 GM,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE
180002731,LEMON PICKLE 500 GM,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE
180002747,EXTRA FIBRE ATTA-1KG,FOOD,FLOUR & SUGAR,ATTA
180002827,BEL SHARBAT 750 ML,FOOD,JUICES & NATURAL BEVERAGES,SHARBAT THANDAI
180002831,KHUS SHARBAT 750 ML,FOOD,JUICES & NATURAL BEVERAGES,SHARBAT THANDAI
180002895,LARGE CARDAMOM 50 GM,FOOD,RICE/PULSES/SPICES,SPICES
180002932,WHEAT GRASS POWDER 100 GM,FOOD,JUICES & NATURAL BEVERAGES,GRASS POWDER
180002949,PISTA 250 GM (MONO),FOOD,FLOUR & SUGAR,DRY FRUITS
180002950,FIG (ANJEER) 250 GM (MONO),FOOD,FLOUR & SUGAR,DRY FRUITS
180003033,PATANJALI FORTIFIED SOYABEAN OIL 1 L PP,FOOD,PHYSICAL OIL & GHEE,SOYABEAN OIL
180005229,POPPY SEEDS 50 GM,FOOD,RICE/PULSES/SPICES,SPICES
180005256,CASHEW (KAJU) 250 GM (MONO),FOOD,FLOUR & SUGAR,DRY FRUITS
180005272,ALMOND (BADAM) 250 GM (MONO),FOOD,FLOUR & SUGAR,DRY FRUITS
180005564,MANGO PICKLE 500 GM,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE
180007507,DATES (AJWA) 500 G,FOOD,FLOUR & SUGAR,DRY FRUITS
180007762,CORIANDER POWDER 20 GM,FOOD,RICE/PULSES/SPICES,SPICES
180007772,TURMERIC POWDER 20 GM,FOOD,RICE/PULSES/SPICES,SPICES
180008905,PATANJALI GREEN CHILLI SAUCE 180 G,FOOD,EXCLUSIVE RETAIL,SAUCE
180008906,PATANJALI RED CHILLI SAUCE 180G,FOOD,EXCLUSIVE RETAIL,SAUCE
180022573,WALNUT INSHELL 400 GM,FOOD,EXCLUSIVE RETAIL,DRY FRUITS
180025983,PATANJALI SOYA CHUNKS 40 GM (40G x 336U),FOOD,FLOUR & SUGAR,SOYA BADDI
180026118,HAIR CONDITIONER ALMOND 100 G,NON FOOD,HAIR CARE,HAIR CONDITIONER
180026137,SWARNA KANTI CREAM-15 G,NON FOOD,SKIN CARE,SKIN CARE
180026139,ANTI AGING CREAM-15 G,NON FOOD,SKIN CARE,SKIN CARE
180026144,AMLA HAIR OIL - 50 ML,NON FOOD,HAIR CARE,HAIR OIL
180026151,ALOEVERA HAND WASH 250 ML,NON FOOD,HOME CARE,HAND WASH & SANITIZER
180026157,SAUNDARYA COCONUT NOURISHING CREAM 50 GM,NON FOOD,SKIN CARE,SKIN CARE
