Item Code,Item Name,Division,Vertical,Brand
83122,Upchar Padhyati (Hindi)-T,Divya Prakashan,BOOKS,BOOKS
83289,SINGLE LINE A4 N.BOOK 192PG(29.7X21CM)-T,DIVYA PRAKASHAN,STATIONERY,NOTEBOOK
83292,SINGLE LINE A4 N.BOOK 400PG(29.7X21CM)-T,DIVYA PRAKASHAN,STATIONERY,NOTEBOOK
83310,DIVYA KUTAJGHAN VATI 80 N (500 MG) - T,PHARMACY,MEDICINES,DIVYA PRODUCTS
83380,DIVYA SHANKHPUSHPI CHURNA 100 GM-T,PHARMACY,MEDICINES,DIVYA PRODUCTS
83514,DIVYA NARI KANTI SYRUP 200 ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
83570,BALA TAILA 100 ML (100 PCS)-T,PHARMACY,MEDICINES,ASAV & KWATH
83580,DIVYA PLATOGRIT 3 U X 20 N -T,PHARMACY,MEDICINES,DIVYA PRODUCTS
83590,DIVYA CORIGHAN 3 U X 20 N -T,PHARMACY,MEDICINES,DIVYA PRODUCTS
84142,AASTHA GULAL PINK 80 GM- T,AASTHA DIVISION,GULAL,GULAL-PINK
84143,AASTHA GULAL YELLOW 80 GM- T,AASTHA DIVISION,GULAL,GULAL-YELLOW
84144,AASTHA GULAL GREEN 80 GM- T,AASTHA DIVISION,GULAL,GULAL-GREEN
84408,DIVYA UTINIL TABLET 3U X 10N -T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI
84436,PATANJALI WELLNESS JAL NETI- 240 ML -T,PHARMACY,EXCLUSIVE RETAIL,JAL NETI
8811000007,DIVYA KSHYAKALP 3 U X 20 N,PHARMACY,EXCLUSIVE RETAIL,DIVYA PRODUCT
8811000008,KUMARYASAVA  450 ML NEW,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8811000018,PUNARNAVADYARISTA 450 ML NEW,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8852000003,DIVYA TRIGHAN 60 N - T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8852000014,DIVYA LITHOM 60 N - T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8852000017,DIVYA KANCHNAR GHANVATI 60 N - T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8855000360,DIVYA MAHAYOGRAJ GUGGUL ( 60 TAB),PHARMACY,MEDICINES,VATI & GUGGAL
8857000014,DIVYA JWAR NASHAK KWATH 100 G,PHARMACY,MEDICINES,ASAV & KWATH
8857000039,DIVYA VRIKKDOSHHAR KWATH 100 G,PHARMACY,MEDICINES,ASAV & KWATH
8857000040,DIVYA VRIKKDOSHHAR VATI 40 TABLETS,PHARMACY,MEDICINES,VATI & GUGGAL
8857000055,DIVYA YOUVNAMRIT VATI 40 TABLETS,PHARMACY,MEDICINES,BHASMA & NPDs
8857000064,DIVYA AROGYAVARDHANI VATI- 80 TAB,PHARMACY,MEDICINES,VATI & GUGGAL
8857000069,DIVYA BRAHMI CHURNA 100 GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000081,DIVYA PEEDANTAK KWATH -100GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000133,DIVYA NAAGKESAR CHURNA 100 GM,PHARMACY,MEDICINES,ASAV & KWATH
8857000136,DIVYA SHUNTHI CHURAN (B.P.N) -100GM,PHARMACY,MEDICINES,Churna
